run_id,geometry_id,target_cohort,is_global_largest_cell,d,d_pub,d_priv,cells,cell_seed,key_seed,target_cell,target_cell_size,target_cell_ag_news,target_cell_synthetic_pii,n_test,n_test_ag_news,n_test_synthetic_pii,method,m,target_position,corpus_index,source,reference,hypothesis,token_f1,bleu,exact_match,normalized_exact_match,pii_hits,pii_total,pii_item_hits,geometry_cosine,recovered_text_embedding_cosine
p192_c16_cs17_ks101_largest,p192_c16_cs17,largest,True,768,192,576,16,17,101,15,341,341,0,12,12,0,ols_m16,16,0,533,ag_news,"Earth's Solar System Shaped by Brush with Star, Astronomers Say (SPACE.com) SPACE.com - The outer","Earth on the STARS: A Space View Outlook, p. 123, and the SSB researchers found the system to be completely",0.2162162162162162,0.018709718017288025,0.0,0.0,0,0,{},0.8966583013534546,0.6142935752868652
p192_c16_cs17_ks101_largest,p192_c16_cs17,largest,True,768,192,576,16,17,101,15,341,341,0,12,12,0,ols_m16,16,1,693,ag_news,"Ig Nobel awards honor weird science advances If a herring asks you to pull his finger, be very afraid. Thats one of the lessons","Nobel Prize if he wants to learn something strange. Finger Pulling the ring, male horsmen are afraid if",0.28571428571428575,0.02219873458950794,0.0,0.0,0,0,{},0.838333010673523,0.7252833247184753
p192_c16_cs17_ks101_largest,p192_c16_cs17,largest,True,768,192,576,16,17,101,15,341,341,0,12,12,0,ols_m16,16,2,1816,ag_news,"Corning begins work on Taiwan LCD facility Encouraged by the demand for LCDs, glass maker Corning on Thursday said it has broken ground for a","Corning Taiwan first news that a new factory will join the line of LCDs, with Corning wares and glass artisans being co-sponsored",0.2916666666666667,0.040879252121008375,0.0,0.0,0,0,{},0.9167699813842773,0.9072538018226624
p192_c16_cs17_ks101_largest,p192_c16_cs17,largest,True,768,192,576,16,17,101,15,341,341,0,12,12,0,ols_m16,16,3,1859,ag_news,MOTOR RACING: FERRARI IN TALK FURY FERRARI are to snub crucial talks at,"Ferri talks FIRM Motors may have snatched the seat of the FAR Race to Discuss Awards, where racers",0.12903225806451615,0.024074859035470342,0.0,0.0,0,0,{},0.9116047620773315,0.7412803173065186
p192_c16_cs17_ks101_largest,p192_c16_cs17,largest,True,768,192,576,16,17,101,15,341,341,0,12,12,0,ols_m16,16,4,422,ag_news,Mr Downer shoots his mouth off Just what Alexander Downer was thinking when he declared on radio last Friday that quot;they could fire,"how the PD could fire when his gun went down earlier in an Americo-Monter interview, but the Deputy said ""I am thinking",0.2127659574468085,0.03795151677123112,0.0,0.0,0,0,{},0.9066609144210815,0.676627516746521
p192_c16_cs17_ks101_largest,p192_c16_cs17,largest,True,768,192,576,16,17,101,15,341,341,0,12,12,0,ols_m16,16,5,2293,ag_news,Russian space agency: Space station crew could be forced to return b>.../b> MOSCOW Space officials in Russia are joining American,Moscow Station crew A letter from the Russian Space Agency (Russia) and other officials about an upcoming move to an American space station are forced to return aboard,0.5714285714285715,0.0653559376048866,0.0,0.0,0,0,{},0.9397158026695251,0.8996924161911011
p192_c16_cs17_ks101_largest,p192_c16_cs17,largest,True,768,192,576,16,17,101,15,341,341,0,12,12,0,ols_m16,16,6,1455,ag_news,"Australian man killed by shark on Great Barrier Reef (Canadian Press) Canadian Press - CAIRNS, Australia (AP) - A 38","Shark Slaughtered by a Man in the Great Barrier Reef (Canadian Press: AFP, 127) Australian (West Australian Press",0.6111111111111112,0.2211660363426002,0.0,0.0,0,0,{},0.9384552240371704,0.8873250484466553
p192_c16_cs17_ks101_largest,p192_c16_cs17,largest,True,768,192,576,16,17,101,15,341,341,0,12,12,0,ols_m16,16,7,1267,ag_news,"Make hotels just like home HOTEL operators, take note: Todays hotel guests are making a nonsense of room-pricing strategies with their",Rashn Dobr>Hotel Prices Some of the hotel operators are now using a strategy to make home service like the ones in,0.4090909090909091,0.026784254608782868,0.0,0.0,0,0,{},0.8948959708213806,0.7963676452636719
p192_c16_cs17_ks101_largest,p192_c16_cs17,largest,True,768,192,576,16,17,101,15,341,341,0,12,12,0,ols_m16,16,8,2315,ag_news,"Cold War deserter jailed after 40 years The long, strange journey of Charles Robert Jenkins reached a tearful climax with a 30-",Cold War escaped by a zealous prisoner Charles Jenkins: 32 years long journey to Robertson's Hull culminate in 100,0.380952380952381,0.04433685135661659,0.0,0.0,0,0,{},0.9151651859283447,0.775189995765686
p192_c16_cs17_ks101_largest,p192_c16_cs17,largest,True,768,192,576,16,17,101,15,341,341,0,12,12,0,ols_m16,16,9,1953,ag_news,"Contradiction in Terms : How to make beer It's been around for thousands of years. It has been worshiped, reviled,","Beagles has been a vying art for thousands of years, and it was not contradicted by a new wiki developed",0.35,0.1277517265860062,0.0,0.0,0,0,{},0.8420546054840088,0.5260645747184753
